AB1_ARTHROPOD	Arthropod-borne viral fevers and viral haemorrhagic fevers	MONDO_0018087	viral hemorrhagic fever	0.8811
AB1_BACT_BIR_OTHER_INF_AGENTS	Bacterial, viral and other infectious agents	EFO_0005741	infectious disease	0.7424999999999999
AB1_HIV	Human immunodeficiency virus [HIV] disease	EFO_0000764	HIV infection	0.99
AB1_INFECTIONS	Certain infectious and parasitic diseases	EFO_0001067	parasitic infection	0.99
AB1_INTESTINAL_INFECTIONS	Intestinal infectious diseases	MONDO_0000916	intestinal infectious disease	1
AB1_MYCOSES	Mycoses	MONDO_0002041	fungal infectious disease	0.96
AB1_OTHER_BACTERIAL	Other bacterial diseases	EFO_0000771	bacterial disease	1
AB1_OTHER_CHLAMYDIAE	Other diseases caused by chlamydiae	EFO_1000863	Chlamydophila infectious disease	0.6435
AB1_OTHER_INFECTIONS	Other infectious diseases	EFO_0005741	infectious disease	1
AB1_OTHER_VIRAL	Other viral diseases	EFO_0000763	viral disease	1
AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST	Pediculosis, acariasis and other infestations	MONDO_0003472	lice infestation	0.9009
AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES	Sequelae of infectious and parasitic diseases	EFO_0001067	parasitic infection	0.8513999999999999
AB1_TUBERCULOSIS	Tuberculosis	Orphanet_3389	Tuberculosis	1
AB1_VIRAL_CNS	Viral infections of the central nervous system	MONDO_0024318	viral infection of central nervous system	1
AB1_VIRAL_HEPATITIS	Viral hepatitis	EFO_0003047	hepatitis C virus infection	0.99
AB1_VIRAL_HEPATITIS	Viral hepatitis	EFO_0004196	viral human hepatitis infection	0.99
AB1_VIRAL_HEPATITIS	Viral hepatitis	EFO_0004197	hepatitis B virus infection	0.99
AB1_VIRAL_HEPATITIS	Viral hepatitis	EFO_0007305	hepatitis A virus infection	0.96
AB1_VIRAL_HEPATITIS	Viral hepatitis	EFO_0007540	animal viral hepatitis	0.99
AB1_ZOONOTIC_BACTERIAL	Certain zoonotic bacterial diseases	MONDO_0044746	zoonotic bacterial infection	0.99
ABDOM_HERNIA	Hernia of abodminal wall	HP_0004299	Hernia of the abdominal wall	0.67
ABDOM_HERNIA_POSTOP	Hernia of abodminal wall, postoperative	HP_0004299	Hernia of the abdominal wall	0.57
ACUTE_RESPIRATORY_INFECTIONS	Asthma/COPD-related acute respiratory infections	EFO_0000694	severe acute respiratory syndrome	0.7424999999999999
AD_AM	Alzheimer's disease (Atypical or mixed)	EFO_0000249	Alzheimer's disease	0.5642999999999999
AD_EO	Alzheimer's disease (Early onset)	EFO_0000249	Alzheimer's disease	0.5642999999999999
AD_LO	Alzheimer's disease (Late onset)	Orphanet_308604	Glycogen storage disease due to acid maltase deficiency, adult onset	0.5642999999999999
AD_U	Alzheimer's disease (undefined)	EFO_0000249	Alzheimer's disease	0.8
AD_U_EXMORE	Alzheimer's disease (undefined) (more controls excluded)	EFO_0000249	Alzheimer's disease	0.57
ALCOGASTRITIS	Alcoholic gastritis	MONDO_0004640	alcoholic gastritis	1
ALCOHOLACUTE10	Acute alcohol intoxication	EFO_0003829	alcohol dependence	0.6633
ALCOLIVER	Alcoholic liver disease	EFO_0008573	alcoholic liver disease	1
ALCONEURODEGEN	Degeneration of nervous system due to alcohol	Orphanet_141	Canavan disease	0.6633
ALCOPANCACU	Acohol-induced acute pancreatitis	EFO_1001507	asparaginase-induced acute pancreatitis	0.92
ALCOPANCCHRON	Alcohol-induced chronic pancreatitis	EFO_0000342	chronic pancreatitis	0.792
ALLERG_ASTHMA	Allergic asthma (mode)	MONDO_0004784	allergic asthma	0.8
ALLERG_RHINITIS	Allergic rhinitis	EFO_0005854	allergic rhinitis	1
APPENDACUT_COMPLIC	Acute appendicitis, with complications	EFO_0007149	appendicitis	0.792
ASTHMA_ACUTE_RESPIRATORY_INFECTIONS	Asthma-related acute respiratory infections	EFO_0000694	severe acute respiratory syndrome	0.7424999999999999
ASTHMA_CHILD	Childhood asthma (age<16)	EFO_0004591	childhood onset asthma	0.792
ASTHMA_CHILD_EXMORE	Childhood asthma (age<16) (more controls excluded)	EFO_0004591	childhood onset asthma	0.5642999999999999
ASTHMA_MIXED	Asthma mixed form (mode)	EFO_0000270	asthma	0.6633
ASTHMA_NAS	Asthma, unspecified (mode)	EFO_0000270	asthma	0.792
ASTHMA_NAS_EXMORE	Asthma, unspecified (mode) (more controls excluded)	EFO_0000270	asthma	0.5642999999999999
ASTHMA_OPPORTUNIST_INFECTIONS	Asthma and opportunit respiratory infection	MONDO_0024355	respiratory tract infectious disease	0.6432
AUD_SWEDISH	Alcohol use disorder, Swedish definition	MONDO_0002046	alcohol abuse	0.6432
BACT_INTEST_INFECTION_NOS	Other specified/unspecified bacterial intestinal infections	EFO_0000771	bacterial disease	0.6633
BRONCHITIS	Bronchitis	EFO_0009661	bronchitis	1
C3_BLADDER	Malignant neoplasm of bladder	MONDO_0001187	urinary bladder cancer	0.99
C3_BLADDER_EXALLC	Malignant neoplasm of bladder (other cancers excluded from controls)	MONDO_0001187	urinary bladder cancer	0.7424999999999999
C3_BRAIN	Malignant neoplasm of brain	MONDO_0001657	brain cancer	0.99
C3_BRAIN_EXALLC	Malignant neoplasm of brain (other cancers excluded from controls)	MONDO_0001657	brain cancer	0.7424999999999999
C3_BREAST	Malignant neoplasm of breast	MONDO_0007254	breast cancer	0.99
C3_BREAST_EXALLC	Malignant neoplasm of breast (other cancers excluded from controls)	MONDO_0007254	breast cancer	0.7424999999999999
C3_BRONCHUS_LUNG	Malignant neoplasm of bronchus and lung	MONDO_0001672	bronchus cancer	0.98
C3_BRONCHUS_LUNG_EXALLC	Malignant neoplasm of bronchus and lung (other cancers excluded from controls)	MONDO_0001672	bronchus cancer	0.5488000000000001
C3_CANCER	Malignant neoplasm	EFO_0000311	cancer	0.99
C3_CANCER	Malignant neoplasm	EFO_1000654	childhood cancer	0.99
C3_CERVIX_UTERI	Malignant neoplasm of cervix uteri	MONDO_0002974	cervical cancer	0.99
C3_CERVIX_UTERI_EXALLC	Malignant neoplasm of cervix uteri (other cancers excluded from controls)	MONDO_0002974	cervical cancer	0.7821
C3_CLL	Chronic lymphocytic leukaemia	EFO_0000095	chronic lymphocytic leukemia	0.99
C3_CLL_EXALLC	Chronic lymphocytic leukaemia (other cancers excluded from controls)	EFO_0000095	chronic lymphocytic leukemia	0.6633
C3_COLON	Malignant neoplasm of colon	MONDO_0021063	malignant colon neoplasm	1
C3_COLON_ADENO	Colon adenocarcinoma	EFO_0000365	colorectal adenocarcinoma	0.99
C3_COLON_ADENO	Colon adenocarcinoma	EFO_1001949	colon adenocarcinoma	1
