phenocode	name	category	n_cases	n_controls	path_bucket	path_https
AB1_AMOEBIASIS	Amoebiasis	I Certain infectious and parasitic diseases (AB1_)	87	197298	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_AMOEBIASIS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_AMOEBIASIS.gz
AB1_ANOGENITAL_HERPES_SIMPLEX	Anogenital herpesviral [herpes simplex] infection	I Certain infectious and parasitic diseases (AB1_)	891	212952	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_ANOGENITAL_HERPES_SIMPLEX.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_ANOGENITAL_HERPES_SIMPLEX.gz
AB1_ARTHROPOD	Arthropod-borne viral fevers and viral haemorrhagic fevers	I Certain infectious and parasitic diseases (AB1_)	1450	217342	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_ARTHROPOD.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_ARTHROPOD.gz
AB1_ASPERGILLOSIS	Aspergillosis	I Certain infectious and parasitic diseases (AB1_)	87	214816	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_ASPERGILLOSIS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_ASPERGILLOSIS.gz
AB1_ATYPICAL_CNS_VIRUS	Atypical virus infections of central nervous system	I Certain infectious and parasitic diseases (AB1_)	146	217637	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_ATYPICAL_CNS_VIRUS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_ATYPICAL_CNS_VIRUS.gz
AB1_BACTINF_NOS	"Bacterial infection, other or unspecified"	I Certain infectious and parasitic diseases (AB1_)	20977	197660	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_BACTINF_NOS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_BACTINF_NOS.gz
AB1_BACT_BIR_OTHER_INF_AGENTS	"Bacterial, viral and other infectious agents"	I Certain infectious and parasitic diseases (AB1_)	1427	217365	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_BACT_BIR_OTHER_INF_AGENTS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_BACT_BIR_OTHER_INF_AGENTS.gz
AB1_BACT_INTEST_OTH	Other bacterial intestinal infections	I Certain infectious and parasitic diseases (AB1_)	2708	197298	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_BACT_INTEST_OTH.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_BACT_INTEST_OTH.gz
AB1_CANDIDIASIS	Candidiasis	I Certain infectious and parasitic diseases (AB1_)	2015	214816	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_CANDIDIASIS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_CANDIDIASIS.gz
AB1_CHLAMYDIA_OTHER	Other sexually transmitted chlamydial diseases	I Certain infectious and parasitic diseases (AB1_)	1032	212952	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_CHLAMYDIA_OTHER.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_CHLAMYDIA_OTHER.gz
AB1_CHOLERA	Cholera	I Certain infectious and parasitic diseases (AB1_)	818	197298	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_CHOLERA.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_CHOLERA.gz
